PurchaseOrderID,ProductID,UnitPrice,LineTotal,Name,ProductNumber,DaysToManufacture,
55,358,6.9825,418.95,HL Grip Tape,GT-2908,0,
56,375,43.2705,129.8115,Hex Nut 5,HN-1024,0,
56,376,47.544,142.632,Hex Nut 6,HN-1032,0,
56,377,43.2705,129.8115,Hex Nut 16,HN-1213,0,
56,378,41.1705,123.5115,Hex Nut 17,HN-1220,0,
57,356,3.381,202.86,LL Grip Tape,GT-0820,0,
57,357,4.3155,258.93,ML Grip Tape,GT-1209,0,
58,375,43.2705,129.8115,Hex Nut 5,HN-1024,0,
58,376,41.1705,123.5115,Hex Nut 6,HN-1032,0,
58,377,45.444,136.332,Hex Nut 16,HN-1213,0,
58,378,41.1705,123.5115,Hex Nut 17,HN-1220,0,
58,379,39.0705,117.2115,Hex Nut 7,HN-1224,0,
59,490,12.3585,37.0755,LL Nipple,NI-4127,0,
60,513,39.1965,21558.075,Touring Rim,RM-T801,0,
61,403,45.444,136.332,External Lock Washer 3,LE-1000,0,
61,404,41.1705,123.5115,External Lock Washer 4,LE-1200,0,
61,405,39.0705,117.2115,External Lock Washer 9,LE-1201,0,
61,406,43.344,130.032,External Lock Washer 5,LE-1400,0,
62,931,34.8705,19178.775,LL Road Tire,TI-R092,0,
62,932,39.7635,21869.925,ML Road Tire,TI-R628,0,
63,422,47.6805,143.0415,Thin-Jam Lock Nut 9,LJ-1213,0,
63,423,45.5805,136.7415,Thin-Jam Lock Nut 10,LJ-1220,0,
63,424,49.854,149.562,Thin-Jam Lock Nut 1,LJ-1420,0,
64,341,47.5755,142.7265,Flat Washer 1,FW-1000,0,
64,342,45.4755,136.4265,Flat Washer 6,FW-1200,0,
65,931,34.3455,18890.025,LL Road Tire,TI-R092,0,
65,932,39.2385,21581.175,ML Road Tire,TI-R628,0,
66,341,47.4705,142.4115,Flat Washer 1,FW-1000,0,
66,342,45.3705,136.1115,Flat Washer 6,FW-1200,0,
66,343,49.644,148.932,Flat Washer 2,FW-1400,0,
66,344,45.3705,136.1115,Flat Washer 9,FW-3400,0,
67,928,32.7705,18023.775,LL Mountain Tire,TI-M267,0,
67,929,37.086,20397.3,ML Mountain Tire,TI-M602,0,
67,930,43.0395,23671.725,HL Mountain Tire,TI-M823,0,
68,332,10.815,5948.25,Freewheel,FH-2981,0,
69,948,82.8345,45558.975,Front Brakes,FB-9873,1,
69,907,82.8345,45558.975,Rear Brakes,RB-9231,1,
70,325,0.21,262.5,Decal 1,DC-8732,0,
70,326,0.21,262.5,Decal 2,DC-9824,0,
71,320,49.644,148.932,Chainring Bolts,CB-2903,0,
71,321,44.3205,132.9615,Chainring Nut,CN-6137,0,
71,322,28.6965,1721.79,Chainring,CR-7833,0,
72,930,42.5145,23382.975,HL Mountain Tire,TI-M823,0,
72,921,5.586,3072.3,Mountain Tire Tube,TT-M928,0,
73,952,15.7395,944.37,Chain,CH-0234,1,
74,933,43.4595,23902.725,HL Road Tire,TI-R982,0,
74,934,37.6215,20691.825,Touring Tire,TI-T723,0,
75,317,29.5785,16268.175,LL Crankarm,CA-5965,0,
75,318,36.099,19854.45,ML Crankarm,CA-6738,0,
75,319,48.5835,26720.925,HL Crankarm,CA-7457,0,
76,928,32.2455,17735.025,LL Mountain Tire,TI-M267,0,
76,929,36.561,20108.55,ML Mountain Tire,TI-M602,0,
77,319,46.4205,25531.275,HL Crankarm,CA-7457,0,
78,359,47.523,142.569,Thin-Jam Hex Nut 9,HJ-1213,0,
78,360,45.423,136.269,Thin-Jam Hex Nut 10,HJ-1220,0,
78,361,49.6965,149.0895,Thin-Jam Hex Nut 1,HJ-1420,0,
78,362,45.423,136.269,Thin-Jam Hex Nut 2,HJ-1428,0,
78,363,43.323,129.969,Thin-Jam Hex Nut 15,HJ-3410,0,
79,2,41.916,125.748,Bearing Ball,BA-8327,0,
80,1,50.2635,150.7905,Adjustable Race,AR-5381,0,
81,361,49.854,149.562,Thin-Jam Hex Nut 1,HJ-1420,0,
81,362,45.5805,136.7415,Thin-Jam Hex Nut 2,HJ-1428,0,
81,363,43.4805,130.4415,Thin-Jam Hex Nut 15,HJ-3410,0,
81,364,47.754,143.262,Thin-Jam Hex Nut 16,HJ-3416,0,
82,530,16.086,8847.3,Seat Post,SP-2981,0,
83,4,57.0255,171.0765,Headset Ball Bearings,BE-2908,0,
84,512,37.086,20397.3,HL Road Rim,RM-R800,0,
85,513,26.5965,14628.075,Touring Rim,RM-T801,0,
86,317,27.0585,14882.175,LL Crankarm,CA-5965,0,
86,318,33.579,18468.45,ML Crankarm,CA-6738,0,
86,319,46.0635,25334.925,HL Crankarm,CA-7457,0,
87,408,47.544,142.632,External Lock Washer 6,LE-5160,0,
87,409,43.2705,129.8115,External Lock Washer 1,LE-6000,0,
87,410,41.1705,123.5115,External Lock Washer 8,LE-7160,0,
87,411,45.444,136.332,External Lock Washer 2,LE-8000,0,
87,412,41.1705,123.5115,Internal Lock Washer 3,LI-1000,0,
87,413,39.0705,117.2115,Internal Lock Washer 4,LI-1200,0,
88,427,47.5965,142.7895,Thin-Jam Lock Nut 16,LJ-3416,0,
88,428,43.323,129.969,Thin-Jam Lock Nut 5,LJ-3816,0,
88,429,41.223,123.669,Thin-Jam Lock Nut 6,LJ-3824,0,
88,430,45.4965,136.4895,Thin-Jam Lock Nut 3,LJ-5161,0,
88,431,41.223,123.669,Thin-Jam Lock Nut 4,LJ-5162,0,
89,320,47.4705,142.4115,Chainring Bolts,CB-2903,0,
89,321,42.798,128.394,Chainring Nut,CN-6137,0,
89,322,25.4205,1525.23,Chainring,CR-7833,0,
90,442,43.3965,130.1895,Lock Nut 7,LN-1224,0,
90,443,39.123,117.369,Lock Nut 8,LN-1420,0,
90,444,37.023,111.069,Lock Nut 9,LN-1428,0,
91,941,62.9895,34644.225,Touring Pedal,PD-T852,1,
92,320,45.3705,136.1115,Chainring Bolts,CB-2903,0,
92,321,40.488,121.464,Chainring Nut,CN-6137,0,
93,504,48.762,146.286,Cup-Shaped Race,RA-2345,0,
94,497,34.188,102.564,Pinch Bolt,PB-6109,0,
95,323,50.2635,150.7905,Crown Race,CR-9981,0,
96,523,10.731,5902.05,LL Spindle/Axle,SD-2342,0,
96,524,14.1225,7767.375,HL Spindle/Axle,SD-9872,0,
97,492,50.2635,3015.81,Paint - Black,PA-187B,0,
97,493,57.1515,3429.09,Paint - Red,PA-361R,0,
97,494,53.2035,3192.21,Paint - Silver,PA-529S,0,
97,495,63.693,3821.58,Paint - Blue,PA-632U,0,
97,496,48.909,2934.54,Paint - Yellow,PA-823Y,0,
98,913,40.9395,22516.725,HL Road Seat/Saddle,SE-R995,1,
98,914,21.0945,11601.975,LL Touring Seat/Saddle,SE-T312,1,
98,915,30.4395,16741.725,ML Touring Seat/Saddle,SE-T762,1,
98,916,40.9395,22516.725,HL Touring Seat/Saddle,SE-T924,1,
99,506,9.198,551.88,Reflector,RF-9198,0,
100,351,5.775,3176.25,Front Derailleur Cage,FC-3982,0,
100,352,1.155,635.25,Front Derailleur Linkage,FL-2301,0,
100,679,5.775,3176.25,Rear Derailleur Cage,RC-0291,0,
101,507,23.394,12866.7,LL Mountain Rim,RM-M464,0,
101,508,27.6465,15205.575,ML Mountain Rim,RM-M692,0,
102,355,1.365,750.75,Guide Pulley,GP-0982,0,
102,940,62.9895,34644.225,HL Road Pedal,PD-R853,1,
103,679,6.195,3407.25,Rear Derailleur Cage,RC-0291,0,
104,507,22.1655,12191.025,LL Mountain Rim,RM-M464,0,
104,508,29.2845,16106.475,ML Mountain Rim,RM-M692,0,
105,491,19.9815,59.9445,HL Nipple,NI-9522,0,
106,347,36.9705,110.9115,Flat Washer 8,FW-5800,0,
106,348,34.8705,104.6115,Flat Washer 5,FW-7160,0,
106,349,39.144,117.432,Flat Washer 7,FW-9160,0,
107,935,31.4895,17319.225,LL Mountain Pedal,PD-M282,1,
107,936,48.2895,26559.225,ML Mountain Pedal,PD-M340,1,
108,380,43.218,129.654,Hex Nut 8,HN-1420,0,
108,381,47.4915,142.4745,Hex Nut 9,HN-1428,0,
108,382,43.2705,129.8115,Hex Nut 22,HN-3410,0,
108,383,47.544,142.632,Hex Nut 23,HN-3416,0,
108,384,43.2705,129.8115,Hex Nut 12,HN-3816,0,
109,479,15.8865,8737.575,Metal Plate 2,MP-2066,0,
109,480,11.6655,6416.025,Metal Plate 1,MP-2503,0,
109,481,11.088,6098.4,Metal Plate 3,MP-4960,0,
109,482,8.757,4816.35,Metal Sheet 2,MS-0253,0,
109,483,9.6915,5330.325,Metal Sheet 3,MS-1256,0,
110,402,47.4705,142.4115,Keyed Washer,KW-4091,0,
111,512,34.9755,19236.525,HL Road Rim,RM-R800,0,
112,406,43.2705,129.8115,External Lock Washer 5,LE-1400,0,
112,407,47.544,142.632,External Lock Washer 7,LE-3800,0,
113,525,2.3205,1276.275,LL Shell,SH-4562,0,
114,526,3.6435,2003.925,HL Shell,SH-9312,0,
115,908,21.0945,11601.975,LL Mountain Seat/Saddle,SE-M236,1,
115,909,30.4395,16741.725,ML Mountain Seat/Saddle,SE-M798,1,
115,913,40.9395,22516.725,HL Road Seat/Saddle,SE-R995,1,
116,356,3.6015,216.09,LL Grip Tape,GT-0820,0,
116,357,3.9795,238.77,ML Grip Tape,GT-1209,0,
117,935,31.4895,17319.225,LL Mountain Pedal,PD-M282,1,
117,936,48.2895,26559.225,ML Mountain Pedal,PD-M340,1,
118,524,12.9675,7132.125,HL Spindle/Axle,SD-9872,0,
119,911,21.0945,11601.975,LL Road Seat/Saddle,SE-R581,1,
119,912,30.4395,16741.725,ML Road Seat/Saddle,SE-R908,1,
120,910,40.9395,22516.725,HL Mountain Seat/Saddle,SE-M940,1,
121,937,62.9895,34644.225,HL Mountain Pedal,PD-M562,1,
122,466,45.423,136.269,Lock Washer 6,LW-1400,0,
122,467,43.323,129.969,Lock Washer 13,LW-3400,0,
123,462,47.6805,143.0415,Lower Head Race,LR-8520,0,
124,510,23.4045,12872.475,LL Road Rim,RM-R436,0,
124,511,27.867,15326.85,ML Road Rim,RM-R600,0,
125,527,6.7515,3713.325,Spokes,SK-9283,0,
126,938,31.4895,17319.225,LL Road Pedal,PD-R347,1,
126,939,48.2895,26559.225,ML Road Pedal,PD-R563,1,
126,509,36.2775,19952.625,HL Mountain Rim,RM-M823,0,
127,492,50.7465,3044.79,Paint - Black,PA-187B,0,
127,493,58.2645,3495.87,Paint - Red,PA-361R,0,
127,494,50.7465,3044.79,Paint - Silver,PA-529S,0,
127,495,62.9265,3775.59,Paint - Blue,PA-632U,0,
127,496,49.6545,2979.27,Paint - Yellow,PA-823Y,0,
128,523,10.3845,5711.475,LL Spindle/Axle,SD-2342,0,
129,425,45.5805,136.7415,Thin-Jam Lock Nut 2,LJ-1428,0,
129,426,43.4805,130.4415,Thin-Jam Lock Nut 15,LJ-3410,0,
129,427,47.754,143.262,Thin-Jam Lock Nut 16,LJ-3416,0,
129,428,43.4805,130.4415,Thin-Jam Lock Nut 5,LJ-3816,0,
129,429,41.3805,124.1415,Thin-Jam Lock Nut 6,LJ-3824,0,
130,490,12.7155,38.1465,LL Nipple,NI-4127,0,
130,491,19.9395,59.8185,HL Nipple,NI-9522,0,
131,528,38.157,114.471,Seat Lug,SL-0931,0,
132,505,44.2155,132.6465,Cone-Shaped Race,RA-7490,0,
133,938,31.4895,17319.225,LL Road Pedal,PD-R347,1,
133,939,48.2895,26559.225,ML Road Pedal,PD-R563,1,
134,358,6.9825,418.95,HL Grip Tape,GT-2908,0,
135,379,45.444,136.332,Hex Nut 7,HN-1224,0,
135,380,41.1705,123.5115,Hex Nut 8,HN-1420,0,
135,381,39.0705,117.2115,Hex Nut 9,HN-1428,0,
135,438,47.6805,143.0415,Lock Nut 5,LN-1024,0,
135,439,45.5805,136.7415,Lock Nut 6,LN-1032,0,
135,440,49.854,149.562,Lock Nut 16,LN-1213,0,
135,441,45.5805,136.7415,Lock Nut 17,LN-1220,0,
135,442,43.4805,130.4415,Lock Nut 7,LN-1224,0,
135,443,47.754,143.262,Lock Nut 8,LN-1420,0,
135,444,43.4805,130.4415,Lock Nut 9,LN-1428,0,
135,445,41.3805,124.1415,Lock Nut 22,LN-3410,0,
135,446,45.654,136.962,Lock Nut 23,LN-3416,0,
135,447,41.3805,124.1415,Lock Nut 12,LN-3816,0,
135,448,39.2805,117.8415,Lock Nut 13,LN-3824,0,
135,449,43.554,130.662,Lock Nut 1,LN-4400,0,
135,450,39.2805,117.8415,Lock Nut 10,LN-5161,0,
135,451,37.1805,111.5415,Lock Nut 11,LN-5162,0,
135,452,41.454,124.362,Lock Nut 2,LN-5400,0,
135,453,37.1805,111.5415,Lock Nut 20,LN-5811,0,
135,454,47.523,142.569,Lock Nut 21,LN-5818,0,
135,455,45.423,136.269,Lock Nut 3,LN-6320,0,
135,456,49.6965,149.0895,Lock Nut 14,LN-7161,0,
135,457,45.423,136.269,Lock Nut 15,LN-7162,0,
135,458,43.323,129.969,Lock Nut 4,LN-8320,0,
135,459,47.5965,142.7895,Lock Nut 19,LN-9080,0,
135,460,43.323,129.969,Lock Nut 18,LN-9161,0,
136,356,3.381,202.86,LL Grip Tape,GT-0820,0,
136,357,4.3155,258.93,ML Grip Tape,GT-1209,0,
137,380,43.344,130.032,Hex Nut 8,HN-1420,0,
137,381,39.0705,117.2115,Hex Nut 9,HN-1428,0,
137,382,36.9705,110.9115,Hex Nut 22,HN-3410,0,
137,383,41.244,123.732,Hex Nut 23,HN-3416,0,
137,384,36.9705,110.9115,Hex Nut 12,HN-3816,0,
137,385,43.218,129.654,Hex Nut 13,HN-3824,0,
138,490,12.3585,37.0755,LL Nipple,NI-4127,0,
139,513,39.1965,21558.075,Touring Rim,RM-T801,0,
140,407,39.0705,117.2115,External Lock Washer 7,LE-3800,0,
140,408,36.9705,110.9115,External Lock Washer 6,LE-5160,0,
140,409,41.244,123.732,External Lock Washer 1,LE-6000,0,
141,933,43.9845,24191.475,HL Road Tire,TI-R982,0,
141,934,38.1465,20980.575,Touring Tire,TI-T723,0,
142,425,45.5805,136.7415,Thin-Jam Lock Nut 2,LJ-1428,0,
142,426,43.4805,130.4415,Thin-Jam Lock Nut 15,LJ-3410,0,
143,343,49.749,149.247,Flat Washer 2,FW-1400,0,
143,344,45.4755,136.4265,Flat Washer 9,FW-3400,0,
143,345,43.3755,130.1265,Flat Washer 4,FW-3800,0,
144,931,34.3455,18890.025,LL Road Tire,TI-R092,0,
144,932,39.2385,21581.175,ML Road Tire,TI-R628,0,
145,345,43.2705,129.8115,Flat Washer 4,FW-3800,0,
145,346,47.544,142.632,Flat Washer 3,FW-5160,0,
145,347,43.2705,129.8115,Flat Washer 8,FW-5800,0,
145,348,41.1705,123.5115,Flat Washer 5,FW-7160,0,
145,349,45.444,136.332,Flat Washer 7,FW-9160,0,
146,928,32.7705,18023.775,LL Mountain Tire,TI-M267,0,
146,929,37.086,20397.3,ML Mountain Tire,TI-M602,0,
146,930,43.0395,23671.725,HL Mountain Tire,TI-M823,0,
147,332,10.815,5948.25,Freewheel,FH-2981,0,
148,948,82.8345,45558.975,Front Brakes,FB-9873,1,
148,907,82.8345,45558.975,Rear Brakes,RB-9231,1,
149,325,0.21,262.5,Decal 1,DC-8732,0,
149,326,0.21,262.5,Decal 2,DC-9824,0,
150,320,49.644,148.932,Chainring Bolts,CB-2903,0,
150,321,44.3205,132.9615,Chainring Nut,CN-6137,0,
150,322,28.6965,1721.79,Chainring,CR-7833,0,
151,930,42.5145,23382.975,HL Mountain Tire,TI-M823,0,
151,921,5.586,3072.3,Mountain Tire Tube,TT-M928,0,
152,952,15.7395,944.37,Chain,CH-0234,1,
153,922,6.531,3592.05,Road Tire Tube,TT-R982,0,
153,923,6.1845,3401.475,Touring Tire Tube,TT-T092,0,
154,317,29.5785,16268.175,LL Crankarm,CA-5965,0,
154,318,36.099,19854.45,ML Crankarm,CA-6738,0,
155,928,32.2455,17735.025,LL Mountain Tire,TI-M267,0,
155,929,36.561,20108.55,ML Mountain Tire,TI-M602,0,
156,319,46.4205,25531.275,HL Crankarm,CA-7457,0,
157,364,47.5965,142.7895,Thin-Jam Hex Nut 16,HJ-3416,0,
157,365,43.323,129.969,Thin-Jam Hex Nut 5,HJ-3816,0,
157,366,41.223,123.669,Thin-Jam Hex Nut 6,HJ-3824,0,
157,367,45.4965,136.4895,Thin-Jam Hex Nut 3,HJ-5161,0,
157,368,41.223,123.669,Thin-Jam Hex Nut 4,HJ-5162,0,
157,369,39.123,117.369,Thin-Jam Hex Nut 13,HJ-5811,0,
158,2,41.916,125.748,Bearing Ball,BA-8327,0,
159,1,50.2635,150.7905,Adjustable Race,AR-5381,0,
160,365,43.4805,130.4415,Thin-Jam Hex Nut 5,HJ-3816,0,
160,366,41.3805,124.1415,Thin-Jam Hex Nut 6,HJ-3824,0,
160,367,45.654,136.962,Thin-Jam Hex Nut 3,HJ-5161,0,
161,530,16.086,8847.3,Seat Post,SP-2981,0,
162,4,57.0255,171.0765,Headset Ball Bearings,BE-2908,0,
163,512,37.086,20397.3,HL Road Rim,RM-R800,0,
164,513,26.5965,14628.075,Touring Rim,RM-T801,0,
165,317,27.0585,14882.175,LL Crankarm,CA-5965,0,
165,318,33.579,18468.45,ML Crankarm,CA-6738,0,
165,319,46.0635,25334.925,HL Crankarm,CA-7457,0,
166,414,43.344,130.032,Internal Lock Washer 9,LI-1201,0,
166,415,39.0705,117.2115,Internal Lock Washer 5,LI-1400,0,
166,416,36.9705,110.9115,Internal Lock Washer 7,LI-3800,0,
166,417,41.244,123.732,Internal Lock Washer 6,LI-5160,0,
167,432,39.123,117.369,Thin-Jam Lock Nut 13,LJ-5811,0,
167,433,43.3965,130.1895,Thin-Jam Lock Nut 14,LJ-5818,0,
167,434,39.123,117.369,Thin-Jam Lock Nut 7,LJ-7161,0,
167,435,37.023,111.069,Thin-Jam Lock Nut 8,LJ-7162,0,
167,436,41.2965,123.8895,Thin-Jam Lock Nut 12,LJ-9080,0,
167,437,37.023,111.069,Thin-Jam Lock Nut 11,LJ-9161,0,
168,320,47.4705,142.4115,Chainring Bolts,CB-2903,0,
168,321,42.798,128.394,Chainring Nut,CN-6137,0,
168,322,25.4205,1525.23,Chainring,CR-7833,0,
169,445,41.2965,123.8895,Lock Nut 22,LN-3410,0,
169,446,37.023,111.069,Lock Nut 23,LN-3416,0,
169,447,47.6805,143.0415,Lock Nut 12,LN-3816,0,
169,448,45.5805,136.7415,Lock Nut 13,LN-3824,0,
169,449,49.854,149.562,Lock Nut 1,LN-4400,0,
170,941,62.9895,34644.225,Touring Pedal,PD-T852,1,
171,322,26.3655,1581.93,Chainring,CR-7833,0,
172,504,48.762,146.286,Cup-Shaped Race,RA-2345,0,
173,497,34.188,102.564,Pinch Bolt,PB-6109,0,
174,323,50.2635,150.7905,Crown Race,CR-9981,0,
175,523,10.731,5902.05,LL Spindle/Axle,SD-2342,0,
175,524,14.1225,7767.375,HL Spindle/Axle,SD-9872,0,
176,492,50.2635,3015.81,Paint - Black,PA-187B,0,
176,493,57.1515,3429.09,Paint - Red,PA-361R,0,
176,494,53.2035,3192.21,Paint - Silver,PA-529S,0,
176,495,63.693,3821.58,Paint - Blue,PA-632U,0,
177,908,21.0945,11601.975,LL Mountain Seat/Saddle,SE-M236,1,
177,909,30.4395,16741.725,ML Mountain Seat/Saddle,SE-M798,1,
177,910,40.9395,22516.725,HL Mountain Seat/Saddle,SE-M940,1,
177,911,21.0945,11601.975,LL Road Seat/Saddle,SE-R581,1,
177,912,30.4395,16741.725,ML Road Seat/Saddle,SE-R908,1,
177,913,40.9395,22516.725,HL Road Seat/Saddle,SE-R995,1,
178,506,9.198,551.88,Reflector,RF-9198,0,
179,351,5.775,3176.25,Front Derailleur Cage,FC-3982,0,
179,352,1.155,635.25,Front Derailleur Linkage,FL-2301,0,
